epoch,accuracy,loss,val_accuracy,val_loss
0,0.885770857334137,0.36108624935150146,0.9749166369438171,0.08024203032255173
1,0.9706041812896729,0.09584354609251022,0.9750833511352539,0.08032727241516113
2,0.9772291779518127,0.07281960546970367,0.9869999885559082,0.043845001608133316
3,0.9822916388511658,0.057104337960481644,0.9884166717529297,0.038881365209817886
4,0.9849374890327454,0.04826030135154724,0.9882500171661377,0.039679545909166336
5,0.9877291917800903,0.04206039011478424,0.9862499833106995,0.044254377484321594
6,0.987500011920929,0.04018530249595642,0.9897500276565552,0.035888511687517166
7,0.9900416731834412,0.03439338877797127,0.9881666898727417,0.03942175209522247
8,0.9900624752044678,0.03131747245788574,0.9870833158493042,0.04304957017302513
9,0.9909791946411133,0.029615581035614014,0.9907500147819519,0.031632427126169205
10,0.9910833239555359,0.028147097676992416,0.9893333315849304,0.039183128625154495
11,0.992020845413208,0.025863375514745712,0.9888333082199097,0.04367945343255997
12,0.9922083616256714,0.024407248944044113,0.9901666641235352,0.040833912789821625
13,0.9947708249092102,0.01672496274113655,0.9916666746139526,0.03302207589149475
14,0.9958124756813049,0.013546306639909744,0.9916666746139526,0.03300387039780617
